,domLoadTime,networkTime,pageLoadTime,searchTime,url
0,1262.0,214.0,58.0,1513.0,http://www.naver.com
1,1876.0,323.0,3.0,2198.0,http://www.daum.net
2,1526.0,269.0,4.0,1798.0,http://www.nate.com
3,1981.0,1744.0,4.0,3618.0,http://www.baidu.com
4,651.0,570.0,0.0,797.0,http://www.google.com
5,513.0,468.0,0.0,625.0,http://www.bing.com
6,1666.0,1280.0,0.0,1840.0,http://www.yahoo.co.jp
7,1273.0,287.0,38.0,1491.0,http://www.naver.com
8,1633.0,462.0,2.0,2093.0,http://www.daum.net
9,2251.0,313.0,4.0,2500.0,http://www.nate.com
10,2327.0,1764.0,3.0,4252.0,http://www.baidu.com
11,770.0,695.0,1.0,936.0,http://www.google.com
12,551.0,555.0,0.0,682.0,http://www.bing.com
13,1184.0,808.0,0.0,1334.0,http://www.yahoo.co.jp
14,1326.0,182.0,45.0,1559.0,http://www.naver.com
15,1497.0,416.0,1.0,1880.0,http://www.daum.net
16,1450.0,469.0,3.0,1888.0,http://www.nate.com
17,2202.0,1499.0,5.0,3834.0,http://www.baidu.com
18,744.0,678.0,0.0,881.0,http://www.google.com
19,606.0,571.0,0.0,700.0,http://www.bing.com
20,1924.0,1425.0,0.0,2103.0,http://www.yahoo.co.jp
21,1397.0,356.0,57.0,1805.0,http://www.naver.com
22,2200.0,259.0,4.0,2459.0,http://www.daum.net
23,1620.0,267.0,6.0,1882.0,http://www.nate.com
24,2422.0,1510.0,2.0,4019.0,http://www.baidu.com
25,738.0,581.0,0.0,883.0,http://www.google.com
26,1036.0,1174.0,0.0,1292.0,http://www.bing.com
27,1219.0,775.0,0.0,1366.0,http://www.yahoo.co.jp
28,1087.0,1069.0,38.0,2159.0,http://www.naver.com
29,1645.0,234.0,2.0,1877.0,http://www.daum.net
30,1632.0,373.0,3.0,2008.0,http://www.nate.com
31,2442.0,1723.0,3.0,4076.0,http://www.baidu.com
32,794.0,576.0,0.0,936.0,http://www.google.com
33,549.0,542.0,1.0,764.0,http://www.bing.com
34,1269.0,895.0,0.0,1410.0,http://www.yahoo.co.jp
