,domLoadTime,networkTime,pageLoadTime,searchTime,url
0,4974.0,1266.0,29.0,5496.0,http://www.naver.com
1,1595.0,315.0,2.0,1907.0,http://www.daum.net
2,2527.0,341.0,2.0,2841.0,http://www.nate.com
3,8421.0,2872.0,3.0,10026.0,http://www.baidu.com
4,812.0,772.0,0.0,995.0,http://www.google.com
5,762.0,659.0,2.0,930.0,http://www.bing.com
6,1388.0,1028.0,0.0,1561.0,http://www.yahoo.co.jp
7,1988.0,368.0,55.0,2304.0,http://www.naver.com
8,1683.0,332.0,4.0,1942.0,http://www.daum.net
9,2172.0,316.0,3.0,2430.0,http://www.nate.com
10,4582.0,2300.0,2.0,6173.0,http://www.baidu.com
11,2680.0,905.0,6.0,2876.0,http://www.google.com
12,646.0,634.0,1.0,776.0,http://www.bing.com
13,1370.0,808.0,0.0,1518.0,http://www.yahoo.co.jp
14,1402.0,341.0,50.0,1679.0,http://www.naver.com
15,1845.0,265.0,2.0,2083.0,http://www.daum.net
16,3079.0,295.0,12.0,3345.0,http://www.nate.com
17,2483.0,1649.0,2.0,4083.0,http://www.baidu.com
18,1313.0,699.0,7.0,1518.0,http://www.google.com
19,602.0,571.0,0.0,730.0,http://www.bing.com
20,1189.0,950.0,0.0,1341.0,http://www.yahoo.co.jp
21,1382.0,314.0,56.0,1650.0,http://www.naver.com
22,1846.0,299.0,3.0,2096.0,http://www.daum.net
23,1935.0,320.0,2.0,2219.0,http://www.nate.com
24,2575.0,1631.0,2.0,4155.0,http://www.baidu.com
25,850.0,778.0,1.0,1031.0,http://www.google.com
26,813.0,632.0,1.0,923.0,http://www.bing.com
27,1270.0,913.0,0.0,1404.0,http://www.yahoo.co.jp
28,1779.0,330.0,63.0,2110.0,http://www.naver.com
29,2281.0,317.0,3.0,2562.0,http://www.daum.net
30,2066.0,335.0,3.0,2337.0,http://www.nate.com
31,4666.0,1635.0,2.0,6260.0,http://www.baidu.com
32,992.0,892.0,1.0,1159.0,http://www.google.com
33,709.0,640.0,0.0,823.0,http://www.bing.com
34,1235.0,1036.0,0.0,1456.0,http://www.yahoo.co.jp
35,1629.0,714.0,49.0,1937.0,http://www.naver.com
36,1887.0,267.0,2.0,2120.0,http://www.daum.net
37,1893.0,298.0,3.0,2189.0,http://www.nate.com
38,2282.0,1672.0,3.0,3924.0,http://www.baidu.com
39,776.0,679.0,1.0,970.0,http://www.google.com
40,759.0,724.0,0.0,860.0,http://www.bing.com
41,1483.0,1341.0,0.0,1726.0,http://www.yahoo.co.jp
42,1683.0,333.0,47.0,2011.0,http://www.naver.com
43,1585.0,343.0,3.0,1837.0,http://www.daum.net
44,1677.0,275.0,3.0,1924.0,http://www.nate.com
45,2673.0,1650.0,5.0,4292.0,http://www.baidu.com
46,890.0,799.0,1.0,1035.0,http://www.google.com
47,756.0,704.0,1.0,858.0,http://www.bing.com
48,1248.0,981.0,0.0,1388.0,http://www.yahoo.co.jp
49,1361.0,323.0,39.0,1610.0,http://www.naver.com
50,1642.0,266.0,3.0,1877.0,http://www.daum.net
51,1670.0,469.0,3.0,2038.0,http://www.nate.com
52,2620.0,1629.0,2.0,4187.0,http://www.baidu.com
53,801.0,721.0,0.0,963.0,http://www.google.com
54,784.0,701.0,1.0,908.0,http://www.bing.com
55,1271.0,1033.0,0.0,1421.0,http://www.yahoo.co.jp
56,1339.0,704.0,49.0,2068.0,http://www.naver.com
57,1591.0,268.0,1.0,1850.0,http://www.daum.net
58,1843.0,442.0,3.0,2242.0,http://www.nate.com
59,3954.0,1817.0,6.0,5504.0,http://www.baidu.com
60,770.0,678.0,1.0,933.0,http://www.google.com
61,663.0,642.0,0.0,786.0,http://www.bing.com
62,1327.0,930.0,0.0,1456.0,http://www.yahoo.co.jp
63,2170.0,485.0,51.0,2645.0,http://www.naver.com
64,3890.0,336.0,1.0,4130.0,http://www.daum.net
65,1939.0,515.0,4.0,2378.0,http://www.nate.com
66,2384.0,1646.0,13.0,3971.0,http://www.baidu.com
67,956.0,868.0,1.0,1120.0,http://www.google.com
68,825.0,798.0,1.0,939.0,http://www.bing.com
69,1183.0,895.0,0.0,1372.0,http://www.yahoo.co.jp
70,1563.0,477.0,49.0,1847.0,http://www.naver.com
71,1542.0,361.0,1.0,1817.0,http://www.daum.net
72,1708.0,312.0,4.0,1953.0,http://www.nate.com
73,2482.0,1690.0,1.0,4050.0,http://www.baidu.com
74,697.0,594.0,1.0,847.0,http://www.google.com
75,1138.0,1102.0,1.0,1238.0,http://www.bing.com
76,1024.0,675.0,0.0,1205.0,http://www.yahoo.co.jp
77,1565.0,326.0,69.0,1886.0,http://www.naver.com
78,2033.0,286.0,2.0,2305.0,http://www.daum.net
79,2523.0,382.0,2.0,2805.0,http://www.nate.com
80,2304.0,1641.0,2.0,3881.0,http://www.baidu.com
81,737.0,537.0,0.0,873.0,http://www.google.com
82,846.0,775.0,0.0,976.0,http://www.bing.com
83,1347.0,930.0,0.0,1493.0,http://www.yahoo.co.jp
84,1669.0,286.0,49.0,1944.0,http://www.naver.com
85,1743.0,281.0,6.0,1996.0,http://www.daum.net
86,1834.0,406.0,10.0,2163.0,http://www.nate.com
87,3292.0,1836.0,2.0,4887.0,http://www.baidu.com
88,1784.0,1475.0,17.0,1987.0,http://www.google.com
89,664.0,640.0,1.0,759.0,http://www.bing.com
90,925.0,681.0,0.0,1088.0,http://www.yahoo.co.jp
91,1458.0,362.0,60.0,1745.0,http://www.naver.com
92,1706.0,336.0,2.0,1944.0,http://www.daum.net
