,domLoadTime,networkTime,pageLoadTime,searchTime,url
0,1543.0,263.0,56.0,1793.0,http://www.naver.com
1,2705.0,301.0,3.0,3032.0,http://www.daum.net
2,2997.0,290.0,6.0,3273.0,http://www.nate.com
3,3882.0,594.0,11.0,4493.0,http://www.baidu.com
4,1160.0,813.0,1.0,1357.0,http://www.google.com
5,1094.0,0.0,1.0,1320.0,http://www.bing.com
6,2964.0,1015.0,1.0,3178.0,http://www.yahoo.co.jp
7,2695.0,281.0,63.0,2986.0,http://www.naver.com
8,4079.0,287.0,4.0,4348.0,http://www.daum.net
9,4655.0,273.0,5.0,4924.0,http://www.nate.com
10,3170.0,890.0,8.0,3858.0,http://www.baidu.com
11,1279.0,611.0,1.0,1435.0,http://www.google.com
12,858.0,0.0,0.0,1016.0,http://www.bing.com
13,1838.0,872.0,0.0,1945.0,http://www.yahoo.co.jp
14,1994.0,276.0,82.0,2300.0,http://www.naver.com
15,3172.0,276.0,3.0,3498.0,http://www.daum.net
16,4734.0,321.0,8.0,5049.0,http://www.nate.com
17,4639.0,588.0,13.0,5300.0,http://www.baidu.com
18,1017.0,731.0,0.0,1199.0,http://www.google.com
19,739.0,0.0,1.0,867.0,http://www.bing.com
20,1820.0,1101.0,1.0,2076.0,http://www.yahoo.co.jp
21,1710.0,313.0,52.0,2011.0,http://www.naver.com
22,4074.0,259.0,3.0,4420.0,http://www.daum.net
23,4133.0,870.0,7.0,5024.0,http://www.nate.com
24,3331.0,565.0,8.0,3942.0,http://www.baidu.com
25,996.0,698.0,1.0,1188.0,http://www.google.com
26,795.0,0.0,1.0,927.0,http://www.bing.com
27,1794.0,939.0,0.0,1942.0,http://www.yahoo.co.jp
28,2523.0,349.0,56.0,2868.0,http://www.naver.com
29,4164.0,286.0,3.0,4438.0,http://www.daum.net
30,4344.0,482.0,5.0,4854.0,http://www.nate.com
31,3263.0,585.0,7.0,3857.0,http://www.baidu.com
32,2001.0,615.0,19.0,2178.0,http://www.google.com
33,753.0,0.0,0.0,984.0,http://www.bing.com
34,1903.0,965.0,0.0,2086.0,http://www.yahoo.co.jp
