,domLoadTime,networkTime,pageLoadTime,searchTime,url
0,2452.0,809.0,39.0,2982.0,http://www.naver.com
1,2329.0,271.0,6.0,2638.0,http://www.daum.net
2,2405.0,273.0,4.0,2671.0,http://www.nate.com
3,9215.0,516.0,4.0,9754.0,http://www.baidu.com
4,1010.0,579.0,11.0,1175.0,http://www.google.com
5,465.0,0.0,1.0,644.0,http://www.bing.com
6,958.0,708.0,0.0,1089.0,http://www.yahoo.co.jp
7,1302.0,295.0,40.0,1563.0,http://www.naver.com
8,2736.0,316.0,3.0,2995.0,http://www.daum.net
9,2324.0,277.0,5.0,2588.0,http://www.nate.com
10,4935.0,528.0,5.0,5475.0,http://www.baidu.com
11,929.0,564.0,10.0,1069.0,http://www.google.com
12,695.0,0.0,0.0,993.0,http://www.bing.com
13,1263.0,1026.0,0.0,1401.0,http://www.yahoo.co.jp
14,1130.0,303.0,38.0,1344.0,http://www.naver.com
15,2714.0,285.0,4.0,2961.0,http://www.daum.net
16,2072.0,311.0,3.0,2328.0,http://www.nate.com
17,3685.0,612.0,9.0,4310.0,http://www.baidu.com
18,1052.0,665.0,12.0,1226.0,http://www.google.com
19,459.0,0.0,0.0,585.0,http://www.bing.com
20,1463.0,821.0,0.0,1583.0,http://www.yahoo.co.jp
21,1101.0,280.0,36.0,1329.0,http://www.naver.com
22,2561.0,380.0,4.0,2873.0,http://www.daum.net
23,2274.0,274.0,5.0,2544.0,http://www.nate.com
24,3568.0,462.0,8.0,4040.0,http://www.baidu.com
25,1162.0,709.0,7.0,1313.0,http://www.google.com
26,424.0,0.0,1.0,545.0,http://www.bing.com
27,1466.0,934.0,0.0,1617.0,http://www.yahoo.co.jp
28,1117.0,310.0,38.0,1351.0,http://www.naver.com
29,2073.0,243.0,2.0,2275.0,http://www.daum.net
30,4070.0,270.0,5.0,4306.0,http://www.nate.com
31,4628.0,658.0,3.0,5300.0,http://www.baidu.com
32,15.0,0.0,0.0,17.0,http://www.google.com
33,511.0,0.0,0.0,637.0,http://www.bing.com
34,1093.0,868.0,1.0,1250.0,http://www.yahoo.co.jp
35,1278.0,286.0,37.0,1484.0,http://www.naver.com
36,2291.0,229.0,2.0,2500.0,http://www.daum.net
37,2381.0,293.0,4.0,2661.0,http://www.nate.com
38,3593.0,639.0,6.0,4075.0,http://www.baidu.com
39,1064.0,662.0,7.0,1257.0,http://www.google.com
40,584.0,0.0,0.0,732.0,http://www.bing.com
41,1074.0,973.0,0.0,1313.0,http://www.yahoo.co.jp
42,1225.0,250.0,61.0,1483.0,http://www.naver.com
43,2442.0,480.0,2.0,2934.0,http://www.daum.net
44,3857.0,262.0,6.0,4091.0,http://www.nate.com
45,4809.0,480.0,4.0,5296.0,http://www.baidu.com
46,1019.0,647.0,7.0,1188.0,http://www.google.com
47,509.0,0.0,0.0,633.0,http://www.bing.com
48,1662.0,816.0,0.0,1779.0,http://www.yahoo.co.jp
49,1352.0,309.0,44.0,1653.0,http://www.naver.com
50,2800.0,250.0,4.0,3035.0,http://www.daum.net
51,2429.0,312.0,4.0,2721.0,http://www.nate.com
52,3616.0,457.0,3.0,4088.0,http://www.baidu.com
53,1094.0,694.0,12.0,1247.0,http://www.google.com
54,435.0,0.0,1.0,593.0,http://www.bing.com
55,1480.0,864.0,0.0,1618.0,http://www.yahoo.co.jp
